location,timestamp,is_alert,alert_minutes,day_of_week,hour
Kyiv_City,2026-05-26 00:00:00+03:00,0,0.0,Tuesday,0
Kyiv_City,2026-05-26 01:00:00+03:00,0,0.0,Tuesday,1
Kyiv_City,2026-05-26 02:00:00+03:00,0,0.0,Tuesday,2
Kyiv_City,2026-05-26 03:00:00+03:00,0,0.0,Tuesday,3
Kyiv_City,2026-05-26 04:00:00+03:00,0,0.0,Tuesday,4
Kyiv_City,2026-05-26 05:00:00+03:00,0,0.0,Tuesday,5
Kyiv_City,2026-05-26 06:00:00+03:00,0,0.0,Tuesday,6
Kyiv_City,2026-05-26 07:00:00+03:00,0,0.0,Tuesday,7
Kyiv_City,2026-05-26 08:00:00+03:00,0,0.0,Tuesday,8
Kyiv_City,2026-05-26 09:00:00+03:00,0,0.0,Tuesday,9
Kyiv_City,2026-05-26 10:00:00+03:00,0,0.0,Tuesday,10
Kyiv_City,2026-05-26 11:00:00+03:00,0,0.0,Tuesday,11
Kyiv_City,2026-05-26 12:00:00+03:00,0,0.0,Tuesday,12
Kyiv_City,2026-05-26 13:00:00+03:00,0,0.0,Tuesday,13
Kyiv_City,2026-05-26 14:00:00+03:00,1,21.466666666666665,Tuesday,14
Kyiv_City,2026-05-26 15:00:00+03:00,0,0.0,Tuesday,15
Kyiv_City,2026-05-26 16:00:00+03:00,0,0.0,Tuesday,16
Kyiv_City,2026-05-26 17:00:00+03:00,1,17.316666666666666,Tuesday,17
Kyiv_City,2026-05-26 18:00:00+03:00,1,6.466666666666667,Tuesday,18
Kyiv_City,2026-05-26 19:00:00+03:00,0,0.0,Tuesday,19
Kyiv_City,2026-05-26 20:00:00+03:00,0,0.0,Tuesday,20
Kyiv_City,2026-05-26 21:00:00+03:00,0,0.0,Tuesday,21
Kyiv_City,2026-05-26 22:00:00+03:00,0,0.0,Tuesday,22
Kyiv_City,2026-05-26 23:00:00+03:00,0,0.0,Tuesday,23
Kyiv_City,2026-05-27 00:00:00+03:00,0,0.0,Wednesday,0
Kyiv_City,2026-05-27 01:00:00+03:00,0,0.0,Wednesday,1
Kyiv_City,2026-05-27 02:00:00+03:00,0,0.0,Wednesday,2
Kyiv_City,2026-05-27 03:00:00+03:00,0,0.0,Wednesday,3
Kyiv_City,2026-05-27 04:00:00+03:00,0,0.0,Wednesday,4
Kyiv_City,2026-05-27 05:00:00+03:00,0,0.0,Wednesday,5
Kyiv_City,2026-05-27 06:00:00+03:00,1,14.283333333333333,Wednesday,6
Kyiv_City,2026-05-27 07:00:00+03:00,0,0.0,Wednesday,7
